date,OT
2024/3/17 2:45,1527
2024/3/17 3:00,1251
2024/3/17 3:15,894
2024/3/17 3:30,728.9
2024/3/17 3:45,1013.9
2024/3/17 4:00,1149
2024/3/17 4:15,1250
2024/3/17 4:30,1837
2024/3/17 4:45,1906
2024/3/17 5:00,2413
2024/3/17 5:15,2733
2024/3/17 5:30,3558
2024/3/17 5:45,2482
2024/3/17 6:00,2235
2024/3/17 6:15,1219
2024/3/17 6:30,634
2024/3/17 6:45,1483
2024/3/17 7:00,831
2024/3/17 7:15,1617
2024/3/17 7:30,1134
2024/3/17 7:45,1464
2024/3/17 8:00,1741
2024/3/17 8:15,2545
2024/3/17 8:30,2884
2024/3/17 8:45,2647
2024/3/17 9:00,2790
2024/3/17 9:15,2643.1
2024/3/17 9:30,0
2024/3/17 9:45,0
2024/3/17 10:00,0
2024/3/17 10:15,0
2024/3/17 10:30,0
2024/3/17 10:45,0
2024/3/17 11:00,0
2024/3/17 11:15,0
2024/3/17 11:30,0
2024/3/17 11:45,0
2024/3/17 12:00,0
2024/3/17 12:15,0
2024/3/17 12:30,0
2024/3/17 12:45,0
2024/3/17 13:00,0
2024/3/17 13:15,0
2024/3/17 13:30,0
2024/3/17 13:45,0
2024/3/17 14:00,0
2024/3/17 14:15,0
2024/3/17 14:30,0
2024/3/17 14:45,0
2024/3/17 15:00,0
2024/3/17 15:15,0
2024/3/17 15:30,0
2024/3/17 15:45,0
2024/3/17 16:00,0
2024/3/17 16:15,0
2024/3/17 16:30,0
2024/3/17 16:45,0
2024/3/17 17:00,0
2024/3/17 17:15,0
2024/3/17 17:30,0
2024/3/17 17:45,0
2024/3/17 18:00,0
2024/3/17 18:15,0
2024/3/17 18:30,0
2024/3/17 18:45,0
2024/3/17 19:00,0
2024/3/17 19:15,0
2024/3/17 19:30,0
2024/3/17 19:45,0
2024/3/17 20:00,0
2024/3/17 20:15,0
2024/3/17 20:30,0
2024/3/17 20:45,-32
2024/3/17 21:00,475
2024/3/17 21:15,390
2024/3/17 21:30,501
2024/3/17 21:45,305
2024/3/17 22:00,652
2024/3/17 22:15,652
2024/3/17 22:30,1263
2024/3/17 22:45,1099
2024/3/17 23:00,1051
2024/3/17 23:15,861
2024/3/17 23:30,785
2024/3/17 23:45,1107.1
2024/3/18 0:00,990
2024/3/18 0:15,804
2024/3/18 0:30,639
2024/3/18 0:45,629
2024/3/18 1:00,464
2024/3/18 1:15,378
2024/3/18 1:30,438.1
2024/3/18 1:45,360
2024/3/18 2:00,252
2024/3/18 2:15,455
2024/3/18 2:30,493
2024/3/18 2:45,468
2024/3/18 3:00,513
2024/3/18 3:15,616
2024/3/18 3:30,678
2024/3/18 3:45,893
2024/3/18 4:00,965
2024/3/18 4:15,1132
2024/3/18 4:30,872
2024/3/18 4:45,758
2024/3/18 5:00,743
2024/3/18 5:15,736
2024/3/18 5:30,932.2
2024/3/18 5:45,744
2024/3/18 6:00,608
2024/3/18 6:15,681
2024/3/18 6:30,682
2024/3/18 6:45,919
2024/3/18 7:00,1162
2024/3/18 7:15,1315
2024/3/18 7:30,1291
2024/3/18 7:45,1196
2024/3/18 8:00,1379.1
2024/3/18 8:15,1645
2024/3/18 8:30,1792
2024/3/18 8:45,1932
2024/3/18 9:00,2479
2024/3/18 9:15,2846.1
2024/3/18 9:30,0
2024/3/18 9:45,0
2024/3/18 10:00,0
2024/3/18 10:15,0
2024/3/18 10:30,0
2024/3/18 10:45,0
2024/3/18 11:00,0
2024/3/18 11:15,0
2024/3/18 11:30,0
2024/3/18 11:45,0
2024/3/18 12:00,0
2024/3/18 12:15,0
2024/3/18 12:30,0
2024/3/18 12:45,0
2024/3/18 13:00,0
2024/3/18 13:15,0
2024/3/18 13:30,0
2024/3/18 13:45,0
2024/3/18 14:00,0
2024/3/18 14:15,0
2024/3/18 14:30,618.9
2024/3/18 14:45,1333
2024/3/18 15:00,1743.9
2024/3/18 15:15,1215
2024/3/18 15:30,1203
2024/3/18 15:45,1336.9
2024/3/18 16:00,1423.9
2024/3/18 16:15,1476
2024/3/18 16:30,1400
2024/3/18 16:45,1591.9
2024/3/18 17:00,1494
2024/3/18 17:15,1418
2024/3/18 17:30,1429
2024/3/18 17:45,1582
2024/3/18 18:00,1417
2024/3/18 18:15,1457.9
2024/3/18 18:30,1061
2024/3/18 18:45,837
2024/3/18 19:00,1026
2024/3/18 19:15,1082.9
2024/3/18 19:30,1541.1
2024/3/18 19:45,1367
2024/3/18 20:00,1336
2024/3/18 20:15,2229
2024/3/18 20:30,1428
2024/3/18 20:45,1685
2024/3/18 21:00,1761
2024/3/18 21:15,2259
